宁夏电信,#genre#
江苏卫视高清,http://14.135.72.92:8888/udp/239.121.4.115:8672
浙江卫视高清,http://14.135.72.92:8888/udp/239.121.4.116:8678
北京卫视高清,http://14.135.72.92:8888/udp/239.121.4.117:8684
广东卫视高清,http://14.135.72.92:8888/udp/239.121.4.118:8690
深圳卫视高清,http://14.135.72.92:8888/udp/239.121.4.119:8696
黑龙江高清,http://14.135.72.92:8888/udp/239.121.4.120:8702
安徽卫视高清,http://14.135.72.92:8888/udp/239.121.4.161:8950
山东卫视高清,http://14.135.72.92:8888/udp/239.121.4.162:8956
辽宁卫视高清,http://14.135.72.92:8888/udp/239.121.4.163:8962
河南卫视,http://14.135.72.92:8888/udp/239.121.4.40:8214
天津卫视,http://14.135.72.92:8888/udp/239.121.4.41:8220
山西卫视,http://14.135.72.92:8888/udp/239.121.4.32:8166
吉林卫视,http://14.135.72.92:8888/udp/239.121.4.43:8232
陕西卫视,http://14.135.72.92:8888/udp/239.121.4.38:8202
东南卫视,http://14.135.72.92:8888/udp/239.121.4.45:8244
江西卫视,http://14.135.72.92:8888/udp/239.121.4.35:8184
广西卫视,http://14.135.72.92:8888/udp/239.121.4.47:8256
云南卫视,http://14.135.72.92:8888/udp/239.121.4.48:8262
贵州卫视,http://14.135.72.92:8888/udp/239.121.4.49:8268
重庆卫视,http://14.135.72.92:8888/udp/239.121.4.36:8190
甘肃卫视,http://14.135.72.92:8888/udp/239.121.4.25:8124
河北卫视,http://14.135.72.92:8888/udp/239.121.4.39:8208
四川卫视,http://14.135.72.92:8888/udp/239.121.4.37:8196
新疆卫视,http://14.135.72.92:8888/udp/239.121.4.58:8322
青海卫视,http://14.135.72.92:8888/udp/239.121.4.55:8304
西藏卫视,http://14.135.72.92:8888/udp/239.121.4.56:8310
内蒙古卫视,http://14.135.72.92:8888/udp/239.121.4.57:8316
纪实高清,http://14.135.72.92:8888/udp/239.121.4.164:8968
熊猫频道高清,http://14.135.72.92:8888/udp/239.121.4.165:8974
IPTV3,http://14.135.72.92:8888/udp/239.121.4.142:8846
IPTV5,http://14.135.72.92:8888/udp/239.121.4.143:8828
IPTV6,http://14.135.72.92:8888/udp/239.121.4.144:8834
IPTV8,http://14.135.72.92:8888/udp/239.121.4.145:8840
金鹰卡通,http://14.135.72.92:8888/udp/239.121.4.52:8286
卡酷卡通,http://14.135.72.92:8888/udp/239.121.4.53:8292
嘉佳卡通,http://14.135.72.92:8888/udp/239.121.4.79:8448
动画,http://14.135.72.92:8888/udp/239.121.4.166:8980
少儿动画,http://14.135.72.92:8888/udp/239.121.4.87:8496
炫动卡通,http://14.135.72.92:8888/udp/239.121.4.51:8280
动漫秀场,http://14.135.72.92:8888/udp/239.121.4.74:8418
金鹰纪实高清,http://14.135.72.92:8888/udp/239.121.4.167:8986
游戏风云,http://14.135.72.92:8888/udp/239.121.4.75:8424
家庭影院,http://14.135.72.92:8888/udp/239.121.4.80:8454
光影,http://14.135.72.92:8888/udp/239.121.4.84:8478
星影,http://14.135.72.92:8888/udp/239.121.4.168:8992
精选,http://14.135.72.92:8888/udp/239.121.4.169:9190
IPTV谍战剧场,http://14.135.72.92:8888/udp/239.121.4.170:9004
热播剧场,http://14.135.72.92:8888/udp/239.121.4.171:9010
经典电影,http://14.135.72.92:8888/udp/239.121.4.172:9016
城市剧场,http://14.135.72.92:8888/udp/239.121.4.173:9022
军旅剧场,http://14.135.72.92:8888/udp/239.121.4.174:9028
古装剧场,http://14.135.72.92:8888/udp/239.121.4.175:9034
喜剧影院,http://14.135.72.92:8888/udp/239.121.4.176:9040
动作影院,http://14.135.72.92:8888/udp/239.121.4.177:9046;
武侠剧场,http://14.135.72.92:8888/udp/239.121.4.179:9058
中国教育1高清,http://14.135.72.92:8888/udp/239.121.4.180:9064
都市剧场,http://14.135.72.92:8888/udp/239.121.4.62:8346
欢笑剧场,http://14.135.72.92:8888/udp/239.121.4.64:8358
财富天下,http://14.135.72.92:8888/udp/239.121.4.181:9070
东方财经,http://14.135.72.92:8888/udp/239.121.4.71:8400
股评汇,http://14.135.72.92:8888/udp/239.121.4.98:8562
IPTV野外,http://14.135.72.92:8888/udp/239.121.4.182:9076
解密,http://14.135.72.92:8888/udp/239.121.4.183:9082
地理,http://14.135.72.92:8888/udp/239.121.4.82:8466
国学,http://14.135.72.92:8888/udp/239.121.4.81:8460
墨宝,http://14.135.72.92:8888/udp/239.121.4.86:8490
鉴赏,http://14.135.72.92:8888/udp/239.121.4.184:9088
