黑龙江联通,#genre#
深圳体育健康,http://113.76.149.109:4022/udp/239.77.1.8:5146
深圳体育健康,http://113.76.149.109:4022/udp/239.77.1.128:5146
深圳体育健康,http://113.76.149.109:4022/udp/239.77.1.140:5146
深圳少儿,http://113.76.149.109:4022/udp/239.77.1.38:5146
深圳少儿,http://113.76.149.109:4022/udp/239.77.1.244:5146
深圳公共,http://113.76.149.109:4022/udp/239.77.1.9:5146
深圳公共,http://113.76.149.109:4022/udp/239.77.1.178:5146
深圳公共,http://113.76.149.109:4022/udp/239.77.1.126:5146
深圳宝安,http://113.76.149.109:4022/udp/239.77.1.206:5146
深圳宝安,http://113.76.149.109:4022/udp/239.77.1.67:5146
深圳宝安第一课,http://113.76.149.109:4022/udp/239.77.1.225:5146
深圳龙岗,http://113.76.149.109:4022/udp/239.77.1.223:5146
深圳东部,http://113.76.149.109:4022/udp/239.77.1.224:5146
深圳众创TV,http://113.76.149.109:4022/udp/239.77.1.247:5146
深圳移动电视,http://113.76.149.109:4022/udp/239.77.1.175:5146
韶关新闻综合,http://113.76.149.109:4022/udp/239.77.0.116:5146
韶关新闻综合,http://113.76.149.109:4022/udp/239.77.0.117:5146
韶关绿色生活,http://113.76.149.109:4022/udp/239.77.0.118:5146
韶关绿色生活,http://113.76.149.109:4022/udp/239.77.0.119:5146
湛江新闻综合,http://113.76.149.109:4022/udp/239.77.0.120:5146
湛江新闻综合,http://113.76.149.109:4022/udp/239.77.0.141:5146
湛江公共,http://113.76.149.109:4022/udp/239.77.0.121:5146
湛江公共,http://113.76.149.109:4022/udp/239.77.0.140:5146
揭阳综合,http://113.76.149.109:4022/udp/239.77.0.157:5146
揭阳综合,http://113.76.149.109:4022/udp/239.77.0.229:5146
揭阳生活,http://113.76.149.109:4022/udp/239.77.0.158:5146
揭阳生活,http://113.76.149.109:4022/udp/239.77.0.251:5146
汕尾新闻综合,http://113.76.149.109:4022/udp/239.77.1.189:5146
汕尾新闻综合,http://113.76.149.109:4022/udp/239.77.0.25:5146
汕尾文化生活,http://113.76.149.109:4022/udp/239.77.1.190:5146
汕尾文化生活,http://113.76.149.109:4022/udp/239.77.0.187:5146
江门综合,http://113.76.149.109:4022/udp/239.77.0.195:5146
江门综合,http://113.76.149.109:4022/udp/239.77.0.201:5146
江门侨乡生活,http://113.76.149.109:4022/udp/239.77.0.196:5146
江门侨乡生活,http://113.76.149.109:4022/udp/239.77.0.202:5146
江门教育,http://113.76.149.109:4022/udp/239.77.0.197:5146
江门教育,http://113.76.149.109:4022/udp/239.77.0.203:5146
HZTV-1,http://113.76.149.109:4022/udp/239.77.0.247:5146
HZTV-1,http://113.76.149.109:4022/udp/239.77.1.154:5146
HZTV-1,http://113.76.149.109:4022/udp/239.77.1.232:5146
HZTV-2,http://113.76.149.109:4022/udp/239.77.0.248:5146
HZTV-2,http://113.76.149.109:4022/udp/239.77.1.173:5146
HZTV-2,http://113.76.149.109:4022/udp/239.77.1.233:5146
珠海-1,http://113.76.149.109:4022/udp/239.77.1.230:5146
珠海-1,http://113.76.149.109:4022/udp/239.77.0.155:5146
珠海-2,http://113.76.149.109:4022/udp/239.77.1.231:5146
珠海-2,http://113.76.149.109:4022/udp/239.77.0.154:5146
